pde,tier,seed,e_global,e_posterior,l1_delta_loglik,w1_mean,w1_dim0,w1_dim1,w1_dim2,w1_dim3,w1_dim4
heat_d5,L1,101,0.0876039888311624,0.06369034156994291,140.8441967065814,0.040400887064037126,0.011355161961870388,0.10289125594962603,0.05237537576687271,0.005088918828745171,0.03029372281307133
heat_d5,L1,102,0.08213741306384065,0.05809890077250435,141.9605579419041,0.01362265905433764,0.010411614881400577,0.01098337928797996,0.007451824435572338,0.023925157573071492,0.015341319093663828
heat_d5,L1,103,0.09711431362510937,0.06968415545169855,125.22059476358328,0.04253821137813435,0.00888832025499472,0.06155554788940465,0.0998664013993319,0.017201470140179538,0.02517931720676094
heat_d5,L1,104,0.09078037670244568,0.07352838852616242,133.94743801334243,0.04674110346471691,0.020987422075866156,0.11467129388167044,0.04112224407423448,0.03589811095025224,0.021026446341561235
heat_d5,L1,105,0.10516997545864495,0.09261851686739778,79.76541259271468,0.03797812825957486,0.05410878566160205,0.013534082830783603,0.016926963045617607,0.04616980031755759,0.05915100944231344
heat_d5,L2,101,0.047209536831816286,0.0349587911561174,147.07291236597325,0.01604139044120046,0.0030779130247791963,0.030818332667897002,0.013531939233199385,0.02207607698374309,0.01070269029638362
heat_d5,L2,102,0.03635045472025989,0.02003754453812485,146.5543595608604,0.012595768407994127,0.0018053252410476007,0.00619528590647552,0.018951548418618708,0.018095691452284856,0.017930991021543944
heat_d5,L2,103,0.050408902594324664,0.0381242128710022,147.31792713352536,0.008695070193621757,0.0038388601768781505,0.013049484063309413,0.017356552029391566,0.0069383087010446865,0.0022921459974849646
heat_d5,L2,104,0.03954545037934472,0.026016911523714145,147.1087513249091,0.02279966445745255,0.007333242582799203,0.03302362947845508,0.042073445281728,0.01710210309916421,0.01446590184511625
heat_d5,L2,105,0.042370013800114806,0.02844906871089675,144.20277414266837,0.014713442111493854,0.008695656331454584,0.030219751483281636,0.012502612258432225,0.007546270038561917,0.014602920445738904
heat_d5,L3,101,0.020156056809301836,0.009018795290173855,147.54554105579385,0.012055173538132815,0.0012553304359809872,0.011365984093453435,0.019870822614972982,0.014733306205187917,0.013050424341068748
heat_d5,L3,102,0.01668712218927473,0.007372129788229284,147.1387089724634,0.00811038566901043,0.00042583290933056084,0.013694829770260174,0.012167635622174421,0.0037736769177025503,0.010489953125584444
heat_d5,L3,103,0.020122546664138537,0.00848771908809329,146.9881859518875,0.011302875629381138,0.003120077002898239,0.010571061427301551,0.011493960142648176,0.02057283632230109,0.010756443251756634
heat_d5,L3,104,0.01880027166415635,0.008252226755247718,147.07947551839703,0.005400476394627539,0.0021870056439105994,0.00576963123542012,0.010424014793194982,0.004624826981433108,0.003996903319178892
heat_d5,L3,105,0.02104769731210105,0.008082584749805473,146.62787588001189,0.009510877006865844,0.004561567661429049,0.011063790575115846,0.018026003940405027,0.009062416470296372,0.004840606387082928
heat_d5,L4,101,0.011127228971083676,0.003379076322320984,147.40212116972455,0.0046686378512215045,0.0008614076512697119,0.007739593485903718,0.006068834473276679,0.007173352881503716,0.001500000764153696
heat_d5,L4,102,0.011508638239596533,0.0033414290215890846,147.3414687885579,0.0062716398546781155,0.00014674479406128404,0.0038635655834472473,0.01154640568438787,0.008995461618045767,0.006806021593448413
heat_d5,L4,103,0.01009496803632208,0.0035592002492492053,147.5277868950486,0.009084387126890985,0.0008421826092918735,0.002556965773912731,0.010655421933998177,0.02042342034924385,0.010943944968008289
heat_d5,L4,104,0.034389939428395015,0.023290696420084016,145.21542706353384,0.024826329405451097,0.008092859647347732,0.004474764491914595,0.06314945022036263,0.030223769631416236,0.0181908030362143
heat_d5,L4,105,0.010647481059330485,0.0033558031861255183,147.71863946559597,0.005863839550543108,0.0006757720938579405,0.003664723796070169,0.017002055357142814,0.003503595287785266,0.004473051217859348
